name, x, y
Space Needle, 47.620519, -122.349291
Olympic Sculpture Garden, 47.616607, -122.355047
Pike Place Market, 47.608568, -122.340646
Seattle Public Library, 47.606691, -122.332485
Pioneer Square, 47.599206, -122.331597
Lumen Field, 47.595154, -122.331588
T-Mobile Park, 47.591383, -122.332302
Seattle University, 47.609469, -122.318870
Capitol Hill, 47.623120, -122.320913
South Lake Union, 47.623216, -122.338435
Belltown District, 47.615474, -122.346098
Volunteer Park, 47.630371, -122.315584
Gas Works Park, 47.645774, -122.334974
University of Washington, 47.654893, -122.307787
Washington Park Arboretum, 47.636131, -122.296286
Seattle Art Museum, 47.607365, -122.337967
Seattle Ferry Terminal, 47.602035, -122.339793
Seattle Aquarium, 47.607393, -122.343149
Seattle-Tacoma International Airport, 47.450252, -122.308345
West Seattle, 47.546681, -122.387201
Fauntleroy, 47.522373, -122.387406
Discovery Park, 47.659375, -122.417307
Woodland Park Zoo, 47.668412, -122.350853
Queen Anne, 47.639582, -122.356934
Thunder Road Guitars, 47.545862, -122.387048
Paper Boat Books, 47.547379, -122.386945
Easy Street Records, 47.561288, -122.386970
Camp West - Bar, 47.561804, -122.386977
Alki Beach, 47.580260, -122.408391
Lincoln Park, 47.530532, -122.395935
REI, 47.620069, -122.329330
Patagonia - Seattle, 47.612001, -122.343922
Westlake Shopping Center, 47.611918, -122.337319
Seattle Asian Art Museum, 47.630253, -122.314176
Sasquatch Books, 47.611942, -122.339746
IKEA, 47.442413, -122.228651
The Crocodile, 47.614680, -122.349222
The ShowBox Seattle, 47.608558, -122.339479
